Date,Product_ID,Category,Region,Sales_Quantity,Sales_Revenue,Discount_Applied
2020-01-15,P018,Home & Kitchen,North,13,4787.71,748.69
2020-01-16,P048,Toys,West,15,6995.31,215.13
2020-01-16,P037,Toys,West,4,154.32,13.93
2020-01-16,P020,Electronics,West,17,4983.96,517.16
2020-01-16,P049,Clothing,West,18,7855.39,2294.14
2020-01-16,P050,Groceries,West,4,1302.2,232.21
2020-01-16,P019,Toys,East,11,4528.14,505.11
2020-01-16,P022,Home & Kitchen,East,2,280.89,84.02
2020-01-16,P034,Electronics,East,13,5561.84,879.37
2020-01-16,P047,Groceries,North,11,1257.09,31.07
2020-01-16,P006,Toys,South,11,1542.9,440.13
2020-01-17,P011,Electronics,West,2,799.58,74.45
2020-01-17,P009,Groceries,North,8,1879.81,383.74
2020-01-17,P050,Clothing,South,15,4530.15,396.38
2020-01-17,P002,Groceries,North,1,476.56,129.79
2020-01-17,P049,Home & Kitchen,South,19,1081.87,78.56
2020-01-17,P039,Electronics,South,15,3779.24,700.85
2020-01-17,P042,Toys,North,10,3890.23,1098.49
2020-01-17,P043,Electronics,South,1,48.49,5.1
2020-01-17,P004,Electronics,North,7,494.86,84.26
2020-01-17,P033,Clothing,South,15,1561.12,78.44
2020-01-18,P001,Clothing,East,5,2490.93,728.44
2020-01-18,P029,Home & Kitchen,West,10,2046.14,135.39
2020-01-18,P002,Electronics,East,12,1094.71,315.53
2020-01-18,P015,Clothing,North,5,881.19,98.09
2020-01-18,P050,Toys,West,18,7815.25,1356.75
2020-01-18,P041,Toys,South,2,491.8,128.86
2020-01-18,P021,Clothing,West,6,1975.38,587.95
2020-01-18,P005,Clothing,South,12,2340.05,327.01
2020-01-18,P037,Groceries,East,1,70.13,15.06
2020-01-18,P030,Clothing,West,14,6801.77,369.29
2020-01-19,P036,Groceries,West,5,1959.93,414.75
2020-01-19,P037,Toys,East,15,4219.19,683.39
2020-01-19,P027,Toys,South,14,465.61,74.2
2020-01-19,P018,Toys,South,1,65.44,8.88
2020-01-19,P007,Groceries,East,5,280.69,49.23
2020-01-19,P047,Toys,South,18,8689.21,12.88
2020-01-19,P040,Clothing,North,18,8760.3,1524.59
2020-01-19,P049,Home & Kitchen,South,12,3221.54,121.52
2020-01-19,P026,Groceries,West,16,7523.37,1654.16
2020-01-19,P043,Clothing,North,1,366.76,17.18
2020-01-20,P039,Clothing,South,13,5198.93,679.37
2020-01-20,P046,Home & Kitchen,North,7,54.95,5.35
2020-01-20,P003,Toys,South,7,1987.32,226.8
2020-01-20,P011,Groceries,North,1,122.58,13.73
2020-01-20,P042,Toys,South,11,3340.78,669.71
2020-01-20,P007,Clothing,South,14,3538.09,575.68
2020-01-20,P028,Clothing,South,12,945.01,149.3
2020-01-20,P036,Toys,West,15,3003.16,494.99
2020-01-20,P033,Clothing,West,11,154.28,9.06
2020-01-20,P031,Groceries,West,15,1882.86,523.64
2020-01-21,P003,Clothing,West,10,4505.11,477.66
2020-01-21,P009,Clothing,East,5,772.6,169.65
2020-01-21,P033,Toys,West,7,2348.06,67.3
2020-01-21,P041,Toys,South,1,214.85,9.86
2020-01-21,P050,Electronics,East,12,5185.01,337.14
2020-01-21,P005,Electronics,South,16,2553.19,176.36
2020-01-21,P044,Home & Kitchen,South,9,1786.49,318.61
2020-01-21,P039,Electronics,South,3,901.61,182.8
2020-01-21,P046,Clothing,South,7,2545.45,12.08
2020-01-21,P037,Toys,South,19,5768.28,583.57
2020-01-22,P010,Electronics,East,16,89.79,8.1
2020-01-22,P048,Toys,East,16,3109.61,111.79
2020-01-22,P014,Home & Kitchen,West,5,1849.52,426.46
2020-01-22,P015,Electronics,North,6,793.43,187.54
2020-01-22,P016,Electronics,North,16,4094.16,195.66
2020-01-22,P035,Groceries,South,4,620.19,48.95
2020-01-22,P011,Clothing,North,2,937.59,155.77
2020-01-22,P038,Home & Kitchen,East,4,1749.21,84.89
2020-01-22,P019,Home & Kitchen,East,5,992.83,149.27
2020-01-22,P017,Electronics,South,6,2457.83,280.65
2020-01-23,P048,Toys,South,6,30.99,0.16
2020-01-23,P017,Clothing,West,19,3729.66,631.55
2020-01-23,P019,Clothing,South,2,489.76,110.82
2020-01-23,P040,Electronics,East,19,1700.1,38.06
2020-01-23,P043,Toys,South,14,770.25,159.94
2020-01-23,P026,Toys,North,4,1273.72,87.46
2020-01-23,P050,Groceries,East,4,1063.54,135.95
2020-01-23,P011,Groceries,West,3,561.12,69.71
2020-01-23,P012,Groceries,North,5,52.3,6.53
2020-01-23,P008,Home & Kitchen,North,6,801.65,182.85
2020-01-24,P014,Electronics,East,17,645.88,100.45
2020-01-24,P033,Home & Kitchen,North,12,3102.6,633.14
2020-01-24,P027,Groceries,West,11,3643.45,876.76
2020-01-24,P007,Home & Kitchen,West,17,8133.96,1799.66
2020-01-24,P042,Clothing,East,14,6941.71,2021.6
2020-01-24,P031,Home & Kitchen,East,19,1836.76,95.94
2020-01-24,P034,Groceries,North,8,1089.58,6.85
2020-01-24,P049,Toys,North,8,3086.12,578.34
2020-01-24,P041,Clothing,East,18,182.91,14.02
2020-01-24,P015,Toys,South,9,2913.59,463.52
2020-01-25,P024,Toys,West,11,1797.73,406.21
2020-01-25,P004,Electronics,South,13,1125.58,44.48
2020-01-25,P042,Toys,East,18,1992.39,302.36
2020-01-25,P039,Toys,North,11,4183.32,932.99
2020-01-25,P006,Home & Kitchen,East,19,1520.51,42.77
2020-01-25,P033,Toys,East,5,421.18,58.32
2020-01-25,P043,Electronics,West,5,2206.59,183.96
2020-01-25,P035,Home & Kitchen,West,10,3304.92,308.28
2020-01-25,P028,Groceries,West,14,4338.78,244.74
2020-01-25,P001,Electronics,West,13,3531.51,555.32
2020-01-26,P015,Clothing,South,18,5455.12,37.53
2020-01-26,P050,Home & Kitchen,North,14,1102.57,230.02
2020-01-26,P047,Toys,South,6,653.23,161.7
2020-01-26,P009,Home & Kitchen,West,13,1013.86,99.82
2020-01-26,P044,Electronics,South,17,5119.07,1129.77
2020-01-26,P048,Home & Kitchen,North,13,1181.34,225.95
2020-01-26,P002,Toys,West,15,953.65,117.27
2020-01-26,P025,Toys,East,7,2016.54,355.58
2020-01-26,P028,Electronics,West,10,1705.83,13.41
2020-01-26,P032,Electronics,South,13,4554.51,1270.18
2020-01-27,P011,Groceries,West,18,3752.86,391.06
2020-01-27,P034,Clothing,West,11,5300.68,890.78
2020-01-27,P050,Groceries,South,12,4739.02,887.75
2020-01-27,P039,Groceries,South,18,1381.64,300.57
2020-01-27,P002,Groceries,West,17,3988.99,1163.2
2020-01-27,P013,Toys,North,9,143.17,30.93
2020-01-27,P018,Clothing,North,7,2404.21,393.16
2020-01-27,P016,Groceries,North,2,409.94,66.72
2020-01-27,P023,Electronics,North,2,90.91,12.5
2020-01-27,P028,Electronics,South,5,2365.6,603.21
2020-01-28,P047,Groceries,East,11,1164.51,182.83
2020-01-28,P013,Toys,West,9,2618.18,498.44
2020-01-28,P005,Electronics,East,15,6869.54,1098.5
2020-01-28,P018,Clothing,West,6,2385.99,226.74
2020-01-28,P011,Home & Kitchen,North,3,1347.32,68.25
2020-01-28,P028,Electronics,West,1,21.52,2.35
2020-01-28,P048,Toys,West,11,1760.17,421.7
2020-01-28,P025,Home & Kitchen,West,9,3625.05,549.42
2020-01-28,P037,Electronics,East,13,6397.75,1281.96
2020-01-28,P006,Groceries,South,4,1994.21,586.17
2020-01-29,P041,Home & Kitchen,North,16,922.24,87.13
2020-01-29,P008,Toys,East,7,614.11,120.72
2020-01-29,P013,Electronics,West,3,1045.81,160.84
2020-01-29,P014,Groceries,East,14,5331.59,1445.3
2020-01-29,P050,Electronics,East,9,3557.53,709.71
2020-01-29,P045,Clothing,East,1,437.74,0.02
2020-01-29,P040,Home & Kitchen,East,2,452.58,62.5
2020-01-29,P043,Toys,North,8,550.24,68.14
2020-01-29,P039,Home & Kitchen,West,17,438.64,97.37
2020-01-29,P007,Clothing,South,16,5684.89,1659.04
2020-01-30,P006,Electronics,North,9,4097.39,822.59
2020-01-30,P010,Electronics,South,1,17.45,3.64
2020-01-30,P037,Toys,South,12,2818.73,116.29
2020-01-30,P015,Home & Kitchen,South,8,3794.51,506.85
2020-01-30,P023,Electronics,North,19,2328.06,357.84
2020-01-30,P022,Toys,West,12,2956.74,578.54
2020-01-30,P018,Clothing,West,2,478.17,141.13
2020-01-30,P044,Electronics,South,17,419.63,76.05
2020-01-30,P005,Home & Kitchen,West,19,2698.44,786.49
2020-01-30,P039,Groceries,North,17,5323.5,750.2
2020-01-31,P002,Toys,South,18,1110.08,127.83
2020-01-31,P028,Toys,South,5,324.54,40.79
2020-01-31,P004,Toys,North,1,205.1,19.76
2020-01-31,P006,Electronics,East,2,671.89,136.8
2020-01-31,P046,Clothing,East,11,3314.88,499.37
2020-01-31,P003,Home & Kitchen,South,9,2774.01,727.09
2020-01-31,P041,Toys,South,2,534.69,132.98
2020-01-31,P018,Clothing,North,9,1925.16,170.4
2020-01-31,P005,Electronics,East,13,2634.94,719.45
2020-01-31,P016,Electronics,East,6,2541.44,527.98
2020-02-01,P046,Toys,North,13,6319.98,433.21
2020-02-01,P017,Home & Kitchen,East,11,794.37,23.66
2020-02-01,P013,Home & Kitchen,West,10,2007.4,188.62
2020-02-01,P027,Groceries,East,10,4505.41,156.98
2020-02-01,P050,Clothing,West,5,1198.17,159.64
2020-02-01,P026,Clothing,West,9,4428.78,383.19
2020-02-01,P031,Toys,North,13,6311.73,1464.71
2020-02-01,P008,Groceries,North,9,2511.78,408.19
2020-02-01,P025,Groceries,East,19,3444.93,854.5
2020-02-01,P006,Groceries,East,17,4355.16,885.04
2020-02-02,P003,Home & Kitchen,East,16,821.89,186.06
2020-02-02,P038,Clothing,West,6,1581.66,267.01
2020-02-02,P010,Home & Kitchen,East,19,5524.31,1434.51
2020-02-02,P016,Home & Kitchen,South,19,5757.91,1021.58
2020-02-02,P020,Groceries,East,16,7969.29,142.18
2020-02-02,P009,Groceries,North,17,7212.24,1932.35
2020-02-02,P023,Home & Kitchen,East,6,790.46,7.3
2020-02-02,P027,Groceries,East,16,6119.76,1706.05
2020-02-02,P045,Home & Kitchen,East,10,715.45,64.26
2020-02-02,P014,Toys,South,9,1286.88,81.35
2020-02-03,P041,Clothing,South,13,4356.21,275.9
2020-02-03,P017,Clothing,East,3,1208.17,336.8
2020-02-03,P032,Home & Kitchen,South,7,1685.85,114.32
2020-02-03,P049,Electronics,South,13,3948.48,423.85
2020-02-03,P010,Electronics,North,17,6142.05,1597.42
2020-02-03,P024,Clothing,South,4,1257.07,27.07
2020-02-03,P029,Clothing,South,18,6451.32,1591.93
2020-02-03,P048,Toys,North,8,1114.78,166.11
2020-02-03,P034,Clothing,South,2,724.5,59.02
2020-02-03,P018,Electronics,East,17,4386.15,61.65
2020-02-04,P002,Toys,North,10,568.8,85.08
2020-02-04,P031,Toys,West,9,2165.44,72.09
2020-02-04,P003,Home & Kitchen,West,9,278.24,64.07
2020-02-04,P046,Clothing,North,13,2740.66,591.7
2020-02-04,P025,Electronics,North,6,1432.68,378.29
2020-02-04,P035,Electronics,West,13,4917.14,53.01
2020-02-04,P045,Electronics,West,8,2620.49,580.65
2020-02-04,P050,Toys,South,12,370.06,75.74
2020-02-04,P039,Electronics,West,11,2057.59,35.86
2020-02-04,P044,Clothing,North,12,653.21,134.83
2020-02-05,P042,Toys,North,7,3081.62,624.56
2020-02-05,P034,Home & Kitchen,West,1,305.04,26.64
2020-02-05,P048,Groceries,South,4,1800.92,383.67
2020-02-05,P021,Groceries,South,2,489.24,109.7
2020-02-05,P019,Toys,South,4,1916.42,542.0
2020-02-05,P032,Groceries,West,18,5833.31,982.26
2020-02-05,P011,Electronics,North,12,3741.22,1005.72
2020-02-05,P040,Electronics,South,13,1842.59,542.64
2020-02-05,P050,Toys,East,11,1470.18,152.25
2020-02-05,P027,Toys,South,15,525.17,108.71
2020-02-06,P046,Electronics,South,19,1751.18,112.4
2020-02-06,P037,Clothing,South,6,594.62,141.39
2020-02-06,P007,Home & Kitchen,North,2,701.33,83.15
2020-02-06,P043,Clothing,South,8,680.22,97.32
2020-02-06,P035,Toys,East,1,231.83,54.34
2020-02-06,P002,Toys,West,18,6965.2,1042.47
2020-02-06,P039,Electronics,North,10,3932.88,444.79
2020-02-06,P031,Toys,South,11,305.78,74.13
2020-02-06,P042,Clothing,East,8,3240.77,246.77
2020-02-06,P029,Home & Kitchen,North,3,1343.54,0.18
2020-02-07,P023,Home & Kitchen,North,3,499.61,125.85
2020-02-07,P033,Groceries,West,7,3133.04,889.59
2020-02-07,P041,Groceries,North,14,5477.93,782.8
2020-02-07,P042,Clothing,West,13,3868.92,216.04
2020-02-07,P044,Home & Kitchen,West,7,148.69,28.37
2020-02-07,P016,Home & Kitchen,West,15,6605.26,911.53
2020-02-07,P012,Home & Kitchen,West,4,1393.36,322.34
2020-02-07,P015,Clothing,West,3,780.75,108.51
2020-02-07,P008,Groceries,West,13,306.77,11.77
2020-02-07,P002,Electronics,North,6,192.26,56.13
2020-02-08,P031,Groceries,North,6,2348.77,499.22
2020-02-08,P040,Home & Kitchen,West,17,7935.56,1970.02
2020-02-08,P024,Home & Kitchen,South,1,65.41,2.46
2020-02-08,P045,Groceries,South,17,344.67,5.37
2020-02-08,P037,Electronics,North,6,1026.76,301.41
2020-02-08,P035,Home & Kitchen,North,17,6203.18,1045.99
2020-02-08,P046,Electronics,North,3,731.51,111.19
2020-02-08,P041,Toys,South,17,297.0,74.75
2020-02-08,P006,Clothing,North,14,5913.92,173.01
2020-02-08,P018,Home & Kitchen,North,19,6736.75,1079.81
2020-02-09,P021,Home & Kitchen,North,18,3945.95,811.42
2020-02-09,P017,Groceries,East,2,213.35,24.41
2020-02-09,P030,Electronics,North,7,2225.86,132.88
2020-02-09,P033,Home & Kitchen,West,18,8476.74,2326.18
2020-02-09,P034,Clothing,South,10,937.86,273.11
2020-02-09,P037,Groceries,West,9,3332.28,704.33
2020-02-09,P009,Electronics,North,17,3430.91,272.01
2020-02-09,P044,Clothing,South,3,413.77,35.68
2020-02-09,P042,Clothing,South,11,3296.73,170.22
2020-02-09,P011,Toys,East,9,455.16,81.8
2020-02-10,P049,Electronics,South,18,6708.57,658.2
2020-02-10,P011,Toys,East,15,1995.93,260.11
2020-02-10,P028,Electronics,East,19,5638.81,1037.47
2020-02-10,P005,Electronics,North,10,3519.29,215.41
2020-02-10,P008,Electronics,North,15,5560.02,22.93
2020-02-10,P040,Electronics,North,14,1946.69,144.58
2020-02-10,P023,Home & Kitchen,North,18,6618.66,1204.73
2020-02-10,P012,Home & Kitchen,West,18,3406.31,340.33
2020-02-10,P043,Clothing,South,19,4736.38,402.55
2020-02-10,P014,Home & Kitchen,South,6,2236.36,495.07
2020-02-11,P048,Home & Kitchen,North,15,5162.12,171.02
2020-02-11,P020,Groceries,North,4,1850.63,246.12
2020-02-11,P010,Clothing,East,13,2045.67,560.79
2020-02-11,P016,Groceries,West,14,2526.16,383.19
2020-02-11,P012,Electronics,North,9,390.89,97.2
2020-02-11,P023,Electronics,South,5,1700.43,427.44
2020-02-11,P027,Home & Kitchen,South,9,759.43,153.48
2020-02-11,P049,Groceries,West,14,2736.69,401.78
2020-02-11,P005,Groceries,North,8,3457.37,551.68
2020-02-11,P035,Toys,South,1,175.89,21.86
2020-02-12,P006,Clothing,North,7,1487.78,8.09
2020-02-12,P004,Electronics,East,3,847.61,159.8
2020-02-12,P027,Clothing,West,16,159.03,34.51
2020-02-12,P033,Electronics,North,16,1691.22,64.63
2020-02-12,P016,Electronics,East,14,3608.19,888.26
2020-02-12,P023,Electronics,North,15,3537.35,80.33
2020-02-12,P012,Electronics,West,18,8124.81,495.95
2020-02-12,P041,Toys,East,8,3873.54,77.35
2020-02-12,P040,Electronics,North,13,2963.83,456.46
2020-02-12,P025,Toys,West,10,1639.75,108.28
2020-02-13,P035,Groceries,East,16,1681.85,158.34
2020-02-13,P050,Groceries,East,2,430.6,117.27
2020-02-13,P024,Toys,East,15,4217.61,739.77
2020-02-13,P018,Clothing,West,19,7824.32,1548.07
2020-02-13,P037,Electronics,West,6,1613.76,308.27
2020-02-13,P029,Home & Kitchen,South,1,266.72,66.09
2020-02-13,P047,Groceries,South,14,1585.7,283.19
2020-02-13,P041,Clothing,East,15,6175.74,855.07
2020-02-13,P048,Toys,South,5,1875.9,84.76
2020-02-13,P036,Electronics,North,6,1263.27,336.71
2020-02-14,P028,Groceries,North,10,1983.44,41.25
2020-02-14,P021,Groceries,East,19,4254.77,902.94
2020-02-14,P009,Home & Kitchen,North,16,4807.07,1338.55
2020-02-14,P022,Clothing,East,5,1591.85,224.11
2020-02-14,P039,Groceries,West,18,5877.12,1418.29
2020-02-14,P024,Toys,South,14,439.7,59.99
2020-02-14,P043,Clothing,East,18,1070.66,297.12
2020-02-14,P032,Toys,North,9,2915.16,852.03
2020-02-14,P004,Clothing,South,19,7128.01,1732.66
2020-02-14,P001,Electronics,East,8,2832.35,386.76
2020-02-15,P050,Electronics,East,8,3765.46,876.5
2020-02-15,P027,Toys,West,7,1543.64,183.37
2020-02-15,P036,Electronics,West,10,4692.93,119.82
2020-02-15,P009,Home & Kitchen,South,18,3798.5,191.58
2020-02-15,P037,Home & Kitchen,West,18,2482.89,75.22
2020-02-15,P001,Toys,East,5,1336.46,395.05
2020-02-15,P010,Electronics,West,8,1781.37,148.76
2020-02-15,P025,Home & Kitchen,South,8,910.04,5.6
2020-02-15,P034,Clothing,East,17,3061.36,277.8
2020-02-15,P018,Toys,North,4,310.91,31.96
2020-02-16,P006,Toys,West,6,2519.54,273.17
2020-02-16,P030,Home & Kitchen,West,18,1188.0,248.96
2020-02-16,P045,Home & Kitchen,North,8,817.82,233.43
2020-02-16,P020,Groceries,South,19,7019.34,1080.06
2020-02-16,P027,Toys,West,7,3265.5,726.51
2020-02-16,P042,Home & Kitchen,South,6,2568.47,127.37
2020-02-16,P003,Home & Kitchen,West,3,286.51,70.97
2020-02-16,P026,Groceries,South,8,2252.71,250.84
2020-02-16,P004,Home & Kitchen,South,3,1342.57,135.93
2020-02-16,P044,Home & Kitchen,East,5,458.43,92.52
2020-02-17,P009,Home & Kitchen,West,15,6836.25,1045.65
2020-02-17,P012,Groceries,East,1,427.23,118.99
2020-02-17,P011,Electronics,West,3,1134.3,73.33
2020-02-17,P044,Toys,North,13,783.1,142.91
2020-02-17,P025,Home & Kitchen,South,12,2315.72,556.78
2020-02-17,P049,Home & Kitchen,East,7,469.81,108.92
2020-02-17,P003,Clothing,North,8,3719.41,432.18
2020-02-17,P019,Clothing,South,5,1879.83,243.13
2020-02-17,P010,Electronics,North,3,636.59,55.86
2020-02-17,P048,Groceries,East,2,671.19,187.91
2020-02-18,P021,Clothing,East,3,451.99,15.57
2020-02-18,P011,Home & Kitchen,West,17,142.88,9.11
2020-02-18,P005,Groceries,West,15,3062.87,812.81
2020-02-18,P027,Toys,West,4,641.48,132.99
2020-02-18,P042,Electronics,South,2,192.79,19.79
2020-02-18,P014,Electronics,West,17,7006.29,364.35
2020-02-18,P020,Groceries,North,6,2055.99,585.9
2020-02-18,P031,Toys,East,14,4451.41,779.36
